model,seed,gradient_step,train_loss,validation_trajectory_rmse_rad_s,epsilon
jepa_residual,31,800,0.00046974828911646875,0.7250932602802937,0.0
jepa_residual,31,825,0.0003796960877106762,0.7198132503124101,0.0
jepa_residual,31,850,0.0003388192534102798,0.755437138931915,0.0
jepa_residual,31,875,0.00032018854788998713,0.7713205527981598,0.0
jepa_residual,31,900,0.00040173772961410085,0.949006144563863,0.0
jepa_residual,31,925,0.0002848592883522521,0.8040115513486651,0.0
jepa_residual,31,950,0.00041030083818170953,0.7794722788578576,0.0
jepa_residual,31,975,0.0002820020987360928,0.7111836172772352,0.0
jepa_residual,31,1000,0.0004347957559700396,0.8199037006207894,0.0
gru_residual,7,1,0.004524731399453316,34.2395986348016,0.1
gru_residual,7,25,4.535189119612015e-05,3.7476306459560758,0.1
gru_residual,7,50,4.762013567730685e-06,1.2366631308005775,0.1
gru_residual,7,75,1.1943086576967332e-06,0.6299752039851596,0.1
gru_residual,7,100,6.899942728297743e-07,0.49033077833227734,0.1
gru_residual,7,125,4.905733617462358e-07,0.4202645999702239,0.1
gru_residual,7,150,3.758960594210958e-07,0.37297255453340983,0.1
gru_residual,7,175,3.004663607805047e-07,0.33707757249039233,0.1
gru_residual,7,200,2.476724219990576e-07,0.3087062309655132,0.1
gru_residual,7,225,2.0899840703312851e-07,0.2855661841554961,0.1
gru_residual,7,250,1.7955246132607105e-07,0.2661566802245856,0.1
gru_residual,7,275,1.563850802565901e-07,0.24947332866392918,0.1
gru_residual,7,300,1.376554776234462e-07,0.2348501771377426,0.1
gru_residual,7,325,1.2217653085528857e-07,0.22183248017190177,0.1
gru_residual,7,350,1.0915740689769136e-07,0.21010220221518364,0.1
gru_residual,7,375,9.805219770124304e-08,0.1994327135426197,0.1
gru_residual,7,400,8.847184584537478e-08,0.18965446788540968,0.1
gru_residual,7,425,8.012926932548797e-08,0.18064033452961242,0.1
gru_residual,7,450,7.280826067410203e-08,0.17228941263634218,0.1
gru_residual,7,475,6.634151148358551e-08,0.16452102534915952,0.1
gru_residual,7,500,6.05972821078968e-08,0.15727058752982143,0.1
gru_residual,7,525,5.5470453401232594e-08,0.15048338681231946,0.1
gru_residual,7,550,5.087576849381906e-08,0.1441139375260717,0.1
gru_residual,7,575,4.674309335170423e-08,0.13812373179814263,0.1
gru_residual,7,600,4.301432866556214e-08,0.13247979801015725,0.1
gru_residual,7,625,3.964082222871985e-08,0.12715355911308587,0.1
gru_residual,7,650,3.658139435230059e-08,0.12212026916346376,0.1
gru_residual,7,675,3.380089150376884e-08,0.11735723521559732,0.1
gru_residual,7,700,3.126901209207383e-08,0.11284540974364468,0.1
gru_residual,7,725,2.8959519818607618e-08,0.108566913957268,0.1
gru_residual,7,750,2.684950116219491e-08,0.10450605911275579,0.1
gru_residual,7,775,2.4918975731467777e-08,0.10064850152167468,0.1
gru_residual,7,800,2.6454002174534134e-08,0.10251291642360076,0.1
gru_residual,7,825,2.1740793269453095e-08,0.0937105287937331,0.1
gru_residual,7,850,2.031721494528334e-08,0.0907881101692801,0.1
gru_residual,7,875,1.8667725536659297e-08,0.0870110731626907,0.1
gru_residual,7,900,1.742670394317246e-08,0.08404974891112477,0.1
gru_residual,7,925,1.6903220839105367e-08,0.08237377502932786,0.1
gru_residual,7,950,1.522819296241451e-08,0.0785224944746386,0.1
gru_residual,7,975,1.4212822799460535e-08,0.07584722223856914,0.1
gru_residual,7,1000,1.3614753877715126e-08,0.07386776779237994,0.1
gru_residual,19,1,0.004754030649037865,34.24828836944792,0.1
gru_residual,19,25,3.8638554264155716e-05,3.41246710824193,0.1
gru_residual,19,50,4.751685482767477e-06,1.2121455559245689,0.1
gru_residual,19,75,1.4785898082793847e-06,0.6899319054157033,0.1
gru_residual,19,100,8.978338951664012e-07,0.5447505342275403,0.1
gru_residual,19,125,6.387289820953961e-07,0.4642897080351359,0.1
gru_residual,19,150,4.811454516041622e-07,0.4061491734937807,0.1
gru_residual,19,175,3.7448250084051356e-07,0.3612456625149659,0.1
gru_residual,19,200,2.986837253143469e-07,0.3250308244328922,0.1
gru_residual,19,225,2.4299874383541037e-07,0.2952162079864307,0.1
gru_residual,19,250,2.0099859012150506e-07,0.27021656195028065,0.1
gru_residual,19,275,1.6861438286596613e-07,0.24895213754960366,0.1
gru_residual,19,300,1.4317017422389193e-07,0.23064506303182244,0.1
gru_residual,19,325,1.2285281407994613e-07,0.2147217212675276,0.1
gru_residual,19,350,1.0640109043378487e-07,0.20074966313238904,0.1
gru_residual,19,375,9.291785922094471e-08,0.18839856128071528,0.1
gru_residual,19,400,8.175097892249795e-08,0.1774112151764045,0.1
gru_residual,19,425,7.24168701468685e-08,0.16758244495157218,0.1
gru_residual,19,450,6.455037970304742e-08,0.15874770195535812,0.1
gru_residual,19,475,5.787152326320207e-08,0.15077127258247625,0.1
gru_residual,19,500,5.216218485988559e-08,0.14354098840710078,0.1
gru_residual,19,525,4.725043505754442e-08,0.13696161377307994,0.1
gru_residual,19,550,4.299931152757896e-08,0.13095369434078696,0.1
gru_residual,19,575,3.929859469965573e-08,0.12544748262608338,0.1
gru_residual,19,600,3.605909950021938e-08,0.12038380694834258,0.1
gru_residual,19,625,3.320784196777905e-08,0.11571161027930586,0.1
gru_residual,19,650,3.068504713937687e-08,0.11138567025963136,0.1
gru_residual,19,675,2.844152124828982e-08,0.10736717304261528,0.1
gru_residual,19,700,2.6436376409057125e-08,0.10362223077953829,0.1
gru_residual,19,725,2.4635868655614563e-08,0.10012139961868961,0.1
gru_residual,19,750,2.3011648252043532e-08,0.09683873484812955,0.1
gru_residual,19,775,2.154009609487671e-08,0.0937518168185565,0.1
gru_residual,19,800,2.0201504600673946e-08,0.09084096151430976,0.1
gru_residual,19,825,1.8979125484218756e-08,0.08808885048718751,0.1
gru_residual,19,850,1.7858928363258932e-08,0.08548087173639424,0.1
gru_residual,19,875,1.6828914316771317e-08,0.08300371249713276,0.1
gru_residual,19,900,1.5878996412512766e-08,0.08064581046053183,0.1
gru_residual,19,925,1.5000461210982656e-08,0.07839730773964573,0.1
gru_residual,19,950,1.4185894074867344e-08,0.0762494270525725,0.1
gru_residual,19,975,1.3428861427341131e-08,0.07419403114230994,0.1
gru_residual,19,1000,1.2723799811912519e-08,0.07222490649781584,0.1
gru_residual,31,1,0.00485555972663959,35.4784155201722,0.1
gru_residual,31,25,4.422995525006117e-05,3.6754819164013552,0.1
gru_residual,31,50,4.603064659580775e-06,1.2215803911497398,0.1
gru_residual,31,75,1.327563398651719e-06,0.6529021837792549,0.1
gru_residual,31,100,7.13557199860802e-07,0.4854063833412684,0.1
gru_residual,31,125,4.7425759873868016e-07,0.40216463754065146,0.1
gru_residual,31,150,3.41297851255184e-07,0.346051299548844,0.1
gru_residual,31,175,2.5733803847263393e-07,0.3042216527654813,0.1
gru_residual,31,200,2.0106124348401404e-07,0.2719843905646469,0.1
gru_residual,31,225,1.6175305266688414e-07,0.24648044724601634,0.1
gru_residual,31,250,1.3338561437051273e-07,0.225854389776407,0.1
gru_residual,31,275,1.1233361596794184e-07,0.20886835591911834,0.1
gru_residual,31,300,9.631086414927222e-08,0.19464202333560252,0.1
gru_residual,31,325,8.382571280713534e-08,0.1825308472109203,0.1
gru_residual,31,350,7.387902173991287e-08,0.17205920348225767,0.1
gru_residual,31,375,6.578849592852521e-08,0.16287271787551744,0.1
gru_residual,31,400,5.9080628979158915e-08,0.15470571155110233,0.1
gru_residual,31,425,5.5535685907286574e-08,0.15137200974738654,0.1
gru_residual,31,450,4.857796661721379e-08,0.1408796790133621,0.1
gru_residual,31,475,4.438908488062228e-08,0.13459063979149075,0.1
gru_residual,31,500,4.068375110191742e-08,0.12891514435088042,0.1
gru_residual,31,525,3.741908723561283e-08,0.12366978045837275,0.1
gru_residual,31,550,3.450831674954689e-08,0.11877908850602355,0.1
gru_residual,31,575,3.189767007768045e-08,0.11420179955405528,0.1
gru_residual,31,600,2.9544899861416925e-08,0.10990606797079137,0.1
gru_residual,31,625,2.741635966555936e-08,0.10586432258959898,0.1
gru_residual,31,650,2.558595623936111e-08,0.10239343432552919,0.1
gru_residual,31,675,2.414594580097511e-08,0.0994039395297768,0.1
gru_residual,31,700,2.2145334564608854e-08,0.09513381587667535,0.1
gru_residual,31,725,2.065718277404713e-08,0.0918443751241439,0.1
gru_residual,31,750,1.9313109951086217e-08,0.08879636490211788,0.1
gru_residual,31,775,1.8080738191327386e-08,0.08590536188504562,0.1
gru_residual,31,800,1.6948055033379863e-08,0.08316042710945966,0.1
gru_residual,31,825,1.590523788408868e-08,0.08055145535012459,0.1
gru_residual,31,850,1.494364973163234e-08,0.07806888013998259,0.1
gru_residual,31,875,1.40556098730753e-08,0.07570474187714298,0.1
gru_residual,31,900,1.3314760631434445e-08,0.07379518733165935,0.1
gru_residual,31,925,1.299297264992415e-08,0.07156442238012314,0.1
gru_residual,31,950,1.1769560920081205e-08,0.06927030879789808,0.1
gru_residual,31,975,1.111262684446386e-08,0.06728240205368904,0.1
gru_residual,31,1000,1.0502728640962294e-08,0.06540194120307416,0.1
jepa_residual,7,1,0.049760580554146866,39.18985404033611,0.1
jepa_residual,7,25,0.008934493966646329,12.649749376434967,0.1
jepa_residual,7,50,0.0020397347226847723,4.271842626041255,0.1
jepa_residual,7,75,0.0009876554919214385,1.9323820241876275,0.1
jepa_residual,7,100,0.0006793655127540673,1.1916845070819089,0.1
jepa_residual,7,125,0.0006794330812924889,0.6643274654198398,0.1
jepa_residual,7,150,0.0005555023594523183,0.6118067699039945,0.1
jepa_residual,7,175,0.00029821072866151023,0.6274867834755593,0.1
jepa_residual,7,200,0.0009749354592649136,0.9374064199509806,0.1
jepa_residual,7,225,0.000570280223476775,0.8586025656364789,0.1
jepa_residual,7,250,0.000447018041263947,0.6650325362442503,0.1
jepa_residual,7,275,0.00025098964461639175,0.6433387936421372,0.1
jepa_residual,7,300,0.000308013542009212,0.3586493692314447,0.1
jepa_residual,7,325,0.00032386151979761467,0.5852232472212151,0.1
jepa_residual,7,350,0.00035734724933433475,0.3126939406407687,0.1
jepa_residual,7,375,0.00041465347121901917,0.4349844016262336,0.1
jepa_residual,7,400,0.00024933341270283146,0.4109475337277752,0.1
jepa_residual,7,425,0.00019221388204357926,0.39355514424132576,0.1
jepa_residual,7,450,0.00033979874046501286,0.5317488107296309,0.1
jepa_residual,7,475,0.00026901079429203636,0.4052165098076177,0.1
jepa_residual,7,500,0.00038622156630337443,0.6294207537760451,0.1
jepa_residual,7,525,0.00030529424834829495,0.6697364750682688,0.1
jepa_residual,7,550,0.0003676974235957488,0.5750043082592503,0.1
jepa_residual,7,575,0.00029972861336366636,0.5803975138362198,0.1
jepa_residual,7,600,0.0003018629168318748,0.473882919996993,0.1
jepa_residual,7,625,0.0002156501834949889,0.5381745936972886,0.1
jepa_residual,7,650,0.00023283394371122334,0.5506389101489536,0.1
jepa_residual,7,675,0.0004769938516063275,0.466365878854994,0.1
jepa_residual,7,700,0.00020259424461324766,0.4672411078885974,0.1
jepa_residual,7,725,0.00022682005485553838,0.3832299579347583,0.1
jepa_residual,7,750,0.0003303882844155828,0.570558405162545,0.1
jepa_residual,7,775,0.0002741098910127716,0.4433882387386586,0.1
jepa_residual,7,800,0.0002802163656210662,0.4093259828854614,0.1
jepa_residual,7,825,0.00030063012815560616,0.4617449954321337,0.1
jepa_residual,7,850,0.0002900099260261028,0.4277191324142956,0.1
jepa_residual,7,875,0.00019126789083970117,0.4354951181317887,0.1
jepa_residual,7,900,0.00030529490881031087,0.3719319042227731,0.1
jepa_residual,7,925,0.00026449424827078045,0.4963946646493768,0.1
