epsilon,sequence_index,method,full_trajectory_rmse_rad_s,ode_residual_N_m
0.05,12,rk4_oracle,0.0,15.119875351038726
0.05,12,nominal_physics,230.7283017611289,1.2567796086500853
0.05,12,calibrated_physics,0.0019831111129754667,15.119971746519223
0.05,13,rk4_oracle,0.0,12.931100769787
0.05,13,nominal_physics,221.99965474666598,0.753121305138001
0.05,13,calibrated_physics,0.0016810360313617963,12.93117670459171
0.05,14,rk4_oracle,0.0,12.902816174598188
0.05,14,nominal_physics,200.84788583622932,0.48498994290638353
0.05,14,calibrated_physics,0.0010613334907089446,12.90287096692058
0.05,15,rk4_oracle,0.0,13.570297672369293
0.05,15,nominal_physics,206.46506482162005,0.1717825249655752
0.05,15,calibrated_physics,0.0009057743683139105,13.570347550171027
0.05,16,rk4_oracle,0.0,13.903132052982686
0.05,16,nominal_physics,238.60722477180818,0.3682020726792732
0.05,16,calibrated_physics,0.0010234918024577466,13.90318523391463
0.05,17,rk4_oracle,0.0,11.656722666690627
0.05,17,nominal_physics,227.30947779740006,0.7262309527549786
0.05,17,calibrated_physics,0.0008227412945595134,11.656762387047742
0.05,18,rk4_oracle,0.0,11.177069007473042
0.05,18,nominal_physics,215.52267782977822,0.03288194962365621
0.05,18,calibrated_physics,0.0011556862814315575,11.177120045970389
0.05,19,rk4_oracle,0.0,13.306311536870627
0.05,19,nominal_physics,216.08864198339273,0.2286693203016159
0.05,19,calibrated_physics,0.0008496618569643192,13.306357519838599
0.05,20,rk4_oracle,0.0,16.062524504996308
0.05,20,nominal_physics,245.38232745822893,0.34679040016459006
0.05,20,calibrated_physics,0.0013742225860431557,16.062598765789502
0.05,21,rk4_oracle,0.0,15.226435378017024
0.05,21,nominal_physics,234.2121028848167,0.8719124678362745
0.05,21,calibrated_physics,0.0016666307779349566,15.226519544204999
0.05,22,rk4_oracle,0.0,14.020605765246534
0.05,22,nominal_physics,214.17561471595593,1.0126969270019153
0.05,22,calibrated_physics,0.0015633224158043617,14.020683183860264
0.05,23,rk4_oracle,0.0,14.971439433444345
0.05,23,nominal_physics,233.73532031306988,1.2007833777878805
0.05,23,calibrated_physics,0.002031393334805906,14.971536461771402
0.05,24,rk4_oracle,0.0,13.166421073300075
0.05,24,nominal_physics,226.65655581731602,0.02479710897406026
0.05,24,calibrated_physics,0.0011373031980495298,13.166477401929125
0.05,25,rk4_oracle,0.0,12.868120742441619
0.05,25,nominal_physics,197.59474679285373,0.9843014264841244
0.05,25,calibrated_physics,0.001385371123131171,12.8681884723208
0.05,26,rk4_oracle,0.0,13.917204078972768
0.05,26,nominal_physics,230.36211856838887,0.5947673344165528
0.05,26,calibrated_physics,0.0015437987077752918,13.91727837651759
0.05,27,rk4_oracle,0.0,13.68562849067725
0.05,27,nominal_physics,223.5487750203857,0.020439279381379762
0.05,27,calibrated_physics,0.0010474795036755477,13.685683202816175
0.05,28,rk4_oracle,0.0,12.555347700379697
0.05,28,nominal_physics,208.0935811589883,0.53247067756128
0.05,28,calibrated_physics,0.0012581621820665593,12.555408205357754
0.05,29,rk4_oracle,0.0,11.67651334387209
0.05,29,nominal_physics,190.02270348140465,0.8923252807288367
0.05,29,calibrated_physics,0.0013554650523148267,11.67657588048161
0.1,0,rk4_oracle,0.0,13.316340359125713
0.1,0,nominal_physics,208.87108332874828,0.2516544377064277
0.1,0,calibrated_physics,0.0016003953011474745,13.316430272800481
0.1,1,rk4_oracle,0.0,14.341895099032081
0.1,1,nominal_physics,247.66589236621851,0.5007015968537049
0.1,1,calibrated_physics,0.0022077238226863873,14.342010601002851
0.1,2,rk4_oracle,0.0,13.3559685069976
0.1,2,nominal_physics,208.99252813288334,0.8124770114450176
0.1,2,calibrated_physics,0.0029330090660655574,13.356113203020747
0.1,3,rk4_oracle,0.0,12.489268920591098
0.1,3,nominal_physics,230.1412848612409,0.8682835032608076
0.1,3,calibrated_physics,0.0016055443989910424,12.489351825036708
0.1,4,rk4_oracle,0.0,12.307758312244959
0.1,4,nominal_physics,208.05110080671008,0.07293246785733677
0.1,4,calibrated_physics,0.0020479547075145385,12.307860935970023
0.1,5,rk4_oracle,0.0,10.98787185735348
0.1,5,nominal_physics,212.88222185704444,0.8740699872084358
0.1,5,calibrated_physics,0.0013507573664955875,10.987939169277029
0.1,6,rk4_oracle,0.0,13.966744504586584
0.1,6,nominal_physics,214.8309046471946,1.0629097754122943
0.1,6,calibrated_physics,0.0034519085159624,13.966913100755184
0.1,7,rk4_oracle,0.0,13.829645274179295
0.1,7,nominal_physics,236.13518361638785,0.02000426327315571
0.1,7,calibrated_physics,0.0025773159965968217,13.829774066748058
0.1,8,rk4_oracle,0.0,14.840363120183094
0.1,8,nominal_physics,239.12559167638008,0.27187358626397296
0.1,8,calibrated_physics,0.0021622965991120865,14.840481274005318
0.1,9,rk4_oracle,0.0,13.003567335667157
0.1,9,nominal_physics,232.1229855901211,0.18177636678885423
0.1,9,calibrated_physics,0.002324482842151933,13.003681212513444
0.1,10,rk4_oracle,0.0,13.84013503133109
0.1,10,nominal_physics,226.37027051685607,0.10558624470745176
0.1,10,calibrated_physics,0.0023772359908399827,13.840257806604228
0.1,11,rk4_oracle,0.0,12.718549761802477
0.1,11,nominal_physics,241.48618374764789,0.025752745052208075
0.1,11,calibrated_physics,0.0029208438581087947,12.718681712030033
0.1,12,rk4_oracle,0.0,14.025960605966944
0.1,12,nominal_physics,241.27471647945433,0.5119692718018869
0.1,12,calibrated_physics,0.003536708561433032,14.02612614521676
0.1,13,rk4_oracle,0.0,13.377395446697337
