epsilon,method,horizon_steps,horizon_seconds,trajectory_rmse_rad_s,trajectory_rmse_ci95_low_rad_s,trajectory_rmse_ci95_high_rad_s
0.0,jepa_residual_seed19,200,2.0,0.5792890115914803,0.5719658402482292,0.5869825008656804
0.0,jepa_residual_seed31,10,0.1,0.5636134245201574,0.5556476807177304,0.5720635286429582
0.0,jepa_residual_seed31,50,0.5,0.45524267108272515,0.4501104536388424,0.4607203127734985
0.0,jepa_residual_seed31,100,1.0,0.419595807059708,0.41678416794649514,0.42267691631825716
0.0,jepa_residual_seed31,200,2.0,0.42897742460874433,0.42685807413279026,0.4312896104983653
0.1,nominal_physics,10,0.1,3.169766020240812,2.486802107280777,3.8035622055111817
0.1,nominal_physics,50,0.5,7.426175132625434,5.829842992162304,8.915084955147297
0.1,nominal_physics,100,1.0,7.172658775263567,5.6002862339253765,8.649265696194256
0.1,nominal_physics,200,2.0,5.388359272555242,4.192982652314758,6.527523099366714
0.1,calibrated_physics,10,0.1,0.0022872517390839005,0.0021497436312898394,0.0024182941861094895
0.1,calibrated_physics,50,0.5,0.028533371182225247,0.027185818126776153,0.029791894423936302
0.1,calibrated_physics,100,1.0,0.0724676137223562,0.0692408598391294,0.07556315774074657
0.1,calibrated_physics,200,2.0,0.13020010999890916,0.12342604287432954,0.1367530308135865
0.1,gru_residual_seed7,10,0.1,0.06598077135312407,0.05331143766716891,0.07770249936571973
0.1,gru_residual_seed7,50,0.5,0.056493398418666234,0.04561514586730711,0.06657372457712976
0.1,gru_residual_seed7,100,1.0,0.0596565539020114,0.048371450461374844,0.07017406862008224
0.1,gru_residual_seed7,200,2.0,0.06225750555375504,0.05108028162606901,0.07282286623512461
0.1,gru_residual_seed19,10,0.1,0.08688451079926829,0.07019534432015971,0.10231041960158649
0.1,gru_residual_seed19,50,0.5,0.05893796078225778,0.04786399178217121,0.06928389576843813
0.1,gru_residual_seed19,100,1.0,0.058292192842118055,0.04753132560420061,0.06835100559335239
0.1,gru_residual_seed19,200,2.0,0.060260818812285157,0.04938639106651374,0.07048651982567393
0.1,gru_residual_seed31,10,0.1,0.06319343671299116,0.05119670286651298,0.07421748740575207
0.1,gru_residual_seed31,50,0.5,0.05918303855269217,0.04809312756909595,0.06952018451242062
0.1,gru_residual_seed31,100,1.0,0.05284859067772946,0.043325192942690584,0.061803815928339056
0.1,gru_residual_seed31,200,2.0,0.05482105856293867,0.04495112022244121,0.0640170195412657
0.1,jepa_residual_seed7,10,0.1,0.270342319505348,0.24462144813455663,0.29777704299635144
0.1,jepa_residual_seed7,50,0.5,0.34190121241595217,0.32436254616979837,0.36072981969926604
0.1,jepa_residual_seed7,100,1.0,0.3122338915250747,0.2975815476723195,0.32827550046943177
0.1,jepa_residual_seed7,200,2.0,0.2992028964932659,0.2877202704250097,0.3116904152774782
0.1,jepa_residual_seed19,10,0.1,0.7262890194824382,0.702667533110934,0.7513182554130646
0.1,jepa_residual_seed19,50,0.5,0.5727675569935132,0.5530712848466244,0.594155872710386
0.1,jepa_residual_seed19,100,1.0,0.5656771069723485,0.5426071416611876,0.5910669261320225
0.1,jepa_residual_seed19,200,2.0,0.5592009285723188,0.5421629486082228,0.5780769839602493
0.1,jepa_residual_seed31,10,0.1,0.2746439716459193,0.2575829956705858,0.2922511813041789
0.1,jepa_residual_seed31,50,0.5,0.39922791293009335,0.39074217047049975,0.40843384179310666
0.1,jepa_residual_seed31,100,1.0,0.4464264209063677,0.4420077379541204,0.45110613367312613
0.1,jepa_residual_seed31,200,2.0,0.40983596153116353,0.40446328777319673,0.4155512196671058
0.2,nominal_physics,10,0.1,3.1705114661492027,2.4887117117767463,3.803786611209324
0.2,nominal_physics,50,0.5,7.422885700212422,5.836071579569769,8.903389006884128
0.2,nominal_physics,100,1.0,7.167345959530942,5.607280059274249,8.639282466028048
0.2,nominal_physics,200,2.0,5.383866074475982,4.193636657504301,6.517405120274326
0.2,calibrated_physics,10,0.1,0.00515650929780349,0.004843536817649156,0.005454146737458448
0.2,calibrated_physics,50,0.5,0.0642076445432933,0.061160681164985714,0.06706166252091553
0.2,calibrated_physics,100,1.0,0.16294020031365025,0.15567164276133763,0.16992958764960275
