epsilon,sequence_index,method,control_sensitivity_rad_s_per_control
0.1,1,calibrated_physics,0.7229966138311283
0.1,2,rk4_oracle,0.8981981574152087
0.1,2,nominal_physics,0.8981981574152087
0.1,2,calibrated_physics,0.8981981574152087
0.1,3,rk4_oracle,0.6724264932245205
0.1,3,nominal_physics,0.6724264932245205
0.1,3,calibrated_physics,0.6724264932245205
0.1,4,rk4_oracle,0.7903094223138396
0.1,4,nominal_physics,0.7903094223138396
0.1,4,calibrated_physics,0.7903094223138396
0.1,5,rk4_oracle,0.6583708329799265
0.1,5,nominal_physics,0.6583708329799265
0.1,5,calibrated_physics,0.6583708329799265
0.1,6,rk4_oracle,0.9319781094063728
0.1,6,nominal_physics,0.9319781094063728
0.1,6,calibrated_physics,0.9319781094063728
0.1,7,rk4_oracle,0.7822901909548818
0.1,7,nominal_physics,0.7822901909548818
0.1,7,calibrated_physics,0.7822901909548818
0.1,8,rk4_oracle,0.7498996836829974
0.1,8,nominal_physics,0.7498996836829974
0.1,8,calibrated_physics,0.7498996836829974
0.1,9,rk4_oracle,0.7557348016007381
0.1,9,nominal_physics,0.7557348016007381
0.1,9,calibrated_physics,0.7557348016007381
0.1,10,rk4_oracle,0.7937267952229377
0.1,10,nominal_physics,0.7937267952229377
0.1,10,calibrated_physics,0.7937267952229377
0.1,11,rk4_oracle,0.7753459453851974
0.1,11,nominal_physics,0.7753459453851974
0.1,11,calibrated_physics,0.7753459453851974
0.1,12,rk4_oracle,0.8469142983358324
0.1,12,nominal_physics,0.8469142983358324
0.1,12,calibrated_physics,0.8469142983358324
0.1,13,rk4_oracle,0.7702194210423841
0.1,13,nominal_physics,0.7702194210423841
0.1,13,calibrated_physics,0.7702194210423841
0.1,14,rk4_oracle,1.010373019880717
0.1,14,nominal_physics,1.010373019880717
0.1,14,calibrated_physics,1.010373019880717
0.1,15,rk4_oracle,0.8877592415501567
0.1,15,nominal_physics,0.8877592415501567
0.1,15,calibrated_physics,0.8877592415501567
0.1,16,rk4_oracle,0.9704288436296338
0.1,16,nominal_physics,0.9704288436296338
0.1,16,calibrated_physics,0.9704288436296338
0.1,17,rk4_oracle,0.8268103164255081
0.1,17,nominal_physics,0.8268103164255081
0.1,17,calibrated_physics,0.8268103164255081
0.1,18,rk4_oracle,0.7979769770827261
0.1,18,nominal_physics,0.7979769770827261
0.1,18,calibrated_physics,0.7979769770827261
0.1,19,rk4_oracle,0.9563719567040607
0.1,19,nominal_physics,0.9563719567040607
0.1,19,calibrated_physics,0.9563719567040607
0.1,20,rk4_oracle,0.8797085786227399
0.1,20,nominal_physics,0.8797085786227399
0.1,20,calibrated_physics,0.8797085786227399
0.1,21,rk4_oracle,0.7389683435121697
0.1,21,nominal_physics,0.7389683435121697
0.1,21,calibrated_physics,0.7389683435121697
0.1,22,rk4_oracle,1.0129940892511513
0.1,22,nominal_physics,1.0129940892511513
0.1,22,calibrated_physics,1.0129940892511513
0.1,23,rk4_oracle,0.9730755903092358
0.1,23,nominal_physics,0.9730755903092358
0.1,23,calibrated_physics,0.9730755903092358
0.1,24,rk4_oracle,0.9862573091368176
0.1,24,nominal_physics,0.9862573091368176
0.1,24,calibrated_physics,0.9862573091368176
0.1,25,rk4_oracle,0.818191821849723
0.1,25,nominal_physics,0.818191821849723
0.1,25,calibrated_physics,0.818191821849723
0.1,26,rk4_oracle,0.6647790473834903
0.1,26,nominal_physics,0.6647790473834903
0.1,26,calibrated_physics,0.6647790473834903
0.1,27,rk4_oracle,0.7454615109736551
0.1,27,nominal_physics,0.7454615109736551
0.1,27,calibrated_physics,0.7454615109736551
0.1,28,rk4_oracle,0.6182422106348895
0.1,28,nominal_physics,0.6182422106348895
0.1,28,calibrated_physics,0.6182422106348895
0.1,29,rk4_oracle,0.8200714466966019
0.1,29,nominal_physics,0.8200714466966019
0.1,29,calibrated_physics,0.8200714466966019
0.2,0,rk4_oracle,0.7898794643779183
0.2,0,nominal_physics,0.7898794643779183
0.2,0,calibrated_physics,0.7898794643779183
0.2,1,rk4_oracle,0.849720755695671
0.2,1,nominal_physics,0.849720755695671
0.2,1,calibrated_physics,0.849720755695671
0.2,2,rk4_oracle,0.6788738988916521
0.2,2,nominal_physics,0.6788738988916521
0.2,2,calibrated_physics,0.6788738988916521
0.2,3,rk4_oracle,0.9416221814717574
0.2,3,nominal_physics,0.9416221814717574
0.2,3,calibrated_physics,0.9416221814717574
0.2,4,rk4_oracle,0.6774471347625877
0.2,4,nominal_physics,0.6774471347625877
0.2,4,calibrated_physics,0.6774471347625877
0.2,5,rk4_oracle,0.6825360333095887
0.2,5,nominal_physics,0.6825360333095887
0.2,5,calibrated_physics,0.6825360333095887
0.2,6,rk4_oracle,0.6854040992720911
0.2,6,nominal_physics,0.6854040992720911
0.2,6,calibrated_physics,0.6854040992720911
0.2,7,rk4_oracle,0.6682085160036877
0.2,7,nominal_physics,0.6682085160036877
0.2,7,calibrated_physics,0.6682085160036877
0.2,8,rk4_oracle,0.7259424921812752
0.2,8,nominal_physics,0.7259424921812752
0.2,8,calibrated_physics,0.7259424921812752
0.2,9,rk4_oracle,0.9530066432716922
0.2,9,nominal_physics,0.9530066432716922
0.2,9,calibrated_physics,0.9530066432716922
0.2,10,rk4_oracle,0.6654655510374141
0.2,10,nominal_physics,0.6654655510374141
0.2,10,calibrated_physics,0.6654655510374141
0.2,11,rk4_oracle,0.6297876518601697
0.2,11,nominal_physics,0.6297876518601697
0.2,11,calibrated_physics,0.6297876518601697
0.2,12,rk4_oracle,0.8212999460965875
0.2,12,nominal_physics,0.8212999460965875
0.2,12,calibrated_physics,0.8212999460965875
0.2,13,rk4_oracle,0.942989395866789
0.2,13,nominal_physics,0.942989395866789
0.2,13,calibrated_physics,0.942989395866789
0.2,14,rk4_oracle,0.7642154838549686
0.2,14,nominal_physics,0.7642154838549686
0.2,14,calibrated_physics,0.7642154838549686
0.2,15,rk4_oracle,0.7441607965574804
0.2,15,nominal_physics,0.7441607965574804
0.2,15,calibrated_physics,0.7441607965574804
0.2,16,rk4_oracle,0.8181985054989127
0.2,16,nominal_physics,0.8181985054989127
0.2,16,calibrated_physics,0.8181985054989127
0.2,17,rk4_oracle,0.689600937562318
0.2,17,nominal_physics,0.689600937562318
0.2,17,calibrated_physics,0.689600937562318
0.2,18,rk4_oracle,0.9012542790287625
0.2,18,nominal_physics,0.9012542790287625
0.2,18,calibrated_physics,0.9012542790287625
0.2,19,rk4_oracle,0.8236992641741381
0.2,19,nominal_physics,0.8236992641741381
0.2,19,calibrated_physics,0.8236992641741381
0.2,20,rk4_oracle,0.7355884866910856
0.2,20,nominal_physics,0.7355884866910856
0.2,20,calibrated_physics,0.7355884866910856
0.2,21,rk4_oracle,0.8942412102896924
0.2,21,nominal_physics,0.8942412102896924
0.2,21,calibrated_physics,0.8942412102896924
0.2,22,rk4_oracle,0.7813012200585945
0.2,22,nominal_physics,0.7813012200585945
0.2,22,calibrated_physics,0.7813012200585945
0.2,23,rk4_oracle,0.7639100351752859
0.2,23,nominal_physics,0.7639100351752859
0.2,23,calibrated_physics,0.7639100351752859
0.2,24,rk4_oracle,0.854173041489048
0.2,24,nominal_physics,0.854173041489048
0.2,24,calibrated_physics,0.854173041489048
0.2,25,rk4_oracle,0.6891128452934936
0.2,25,nominal_physics,0.6891128452934936
0.2,25,calibrated_physics,0.6891128452934936
0.2,26,rk4_oracle,0.9863007250032751
0.2,26,nominal_physics,0.9863007250032751
0.2,26,calibrated_physics,0.9863007250032751
0.2,27,rk4_oracle,0.7198330962410182
0.2,27,nominal_physics,0.7198330962410182
0.2,27,calibrated_physics,0.7198330962410182
0.2,28,rk4_oracle,0.6820596348688923
0.2,28,nominal_physics,0.6820596348688923
0.2,28,calibrated_physics,0.6820596348688923
0.2,29,rk4_oracle,0.7926299900873346
0.2,29,nominal_physics,0.7926299900873346
0.2,29,calibrated_physics,0.7926299900873346
0.5,0,rk4_oracle,0.7874577471511657
0.5,0,nominal_physics,0.7874577471511657
0.5,0,calibrated_physics,0.7874577471511657
0.5,1,rk4_oracle,0.8148363735926978
0.5,1,nominal_physics,0.8148363735926978
0.5,1,calibrated_physics,0.8148363735926978
0.5,2,rk4_oracle,0.8590007843167768
0.5,2,nominal_physics,0.8590007843167768
0.5,2,calibrated_physics,0.8590007843167768
0.5,3,rk4_oracle,0.8468856128729385
0.5,3,nominal_physics,0.8468856128729385
0.5,3,calibrated_physics,0.8468856128729385
0.5,4,rk4_oracle,0.8370123254053397
0.5,4,nominal_physics,0.8370123254053397
0.5,4,calibrated_physics,0.8370123254053397
0.5,5,rk4_oracle,0.7737566374999005
0.5,5,nominal_physics,0.7737566374999005
0.5,5,calibrated_physics,0.7737566374999005
0.5,6,rk4_oracle,0.8028377885693772
0.5,6,nominal_physics,0.8028377885693772
0.5,6,calibrated_physics,0.8028377885693772
0.5,7,rk4_oracle,0.7373945180688679
0.5,7,nominal_physics,0.7373945180688679
0.5,7,calibrated_physics,0.7373945180688679
0.5,8,rk4_oracle,0.9455232174104822
0.5,8,nominal_physics,0.9455232174104822
0.5,8,calibrated_physics,0.9455232174104822
0.5,9,rk4_oracle,0.7015712378688477
0.5,9,nominal_physics,0.7015712378688477
0.5,9,calibrated_physics,0.7015712378688477
0.5,10,rk4_oracle,0.8029119902630555
0.5,10,nominal_physics,0.8029119902630555
0.5,10,calibrated_physics,0.8029119902630555
0.5,11,rk4_oracle,0.9131518055482957
0.5,11,nominal_physics,0.9131518055482957
0.5,11,calibrated_physics,0.9131518055482957
0.5,12,rk4_oracle,0.7708782590043484
0.5,12,nominal_physics,0.7708782590043484
0.5,12,calibrated_physics,0.7708782590043484
0.5,13,rk4_oracle,0.7852265775909473
0.5,13,nominal_physics,0.7852265775909473
0.5,13,calibrated_physics,0.7852265775909473
0.5,14,rk4_oracle,0.8988384655594928
0.5,14,nominal_physics,0.8988384655594928
0.5,14,calibrated_physics,0.8988384655594928
0.5,15,rk4_oracle,0.7424674822686939
0.5,15,nominal_physics,0.7424674822686939
0.5,15,calibrated_physics,0.7424674822686939
0.5,16,rk4_oracle,0.851452344363679
0.5,16,nominal_physics,0.851452344363679
0.5,16,calibrated_physics,0.851452344363679
0.5,17,rk4_oracle,0.6610348259528109
0.5,17,nominal_physics,0.6610348259528109
0.5,17,calibrated_physics,0.6610348259528109
0.5,18,rk4_oracle,0.6576902615051949
0.5,18,nominal_physics,0.6576902615051949
0.5,18,calibrated_physics,0.6576902615051949
0.5,19,rk4_oracle,0.6997799334840238
0.5,19,nominal_physics,0.6997799334840238
0.5,19,calibrated_physics,0.6997799334840238
0.5,20,rk4_oracle,0.7760128534073374
0.5,20,nominal_physics,0.7760128534073374
0.5,20,calibrated_physics,0.7760128534073374
0.5,21,rk4_oracle,0.8578052768370981
0.5,21,nominal_physics,0.8578052768370981
0.5,21,calibrated_physics,0.8578052768370981
0.5,22,rk4_oracle,0.6499966167439197
0.5,22,nominal_physics,0.6499966167439197
0.5,22,calibrated_physics,0.6499966167439197
0.5,23,rk4_oracle,0.7983162879554584
0.5,23,nominal_physics,0.7983162879554584
0.5,23,calibrated_physics,0.7983162879554584
0.5,24,rk4_oracle,0.9616019048053204
0.5,24,nominal_physics,0.9616019048053204
0.5,24,calibrated_physics,0.9616019048053204
0.5,25,rk4_oracle,0.8167601384911904
0.5,25,nominal_physics,0.8167601384911904
0.5,25,calibrated_physics,0.8167601384911904
0.5,26,rk4_oracle,0.8384908056768836
0.5,26,nominal_physics,0.8384908056768836
0.5,26,calibrated_physics,0.8384908056768836
0.5,27,rk4_oracle,0.9502722843990341
0.5,27,nominal_physics,0.9502722843990341
0.5,27,calibrated_physics,0.9502722843990341
0.5,28,rk4_oracle,0.7879863858306635
0.5,28,nominal_physics,0.7879863858306635
0.5,28,calibrated_physics,0.7879863858306635
0.5,29,rk4_oracle,0.8102996406478269
0.5,29,nominal_physics,0.8102996406478269
0.5,29,calibrated_physics,0.8102996406478269
