epsilon,sequence_index,method,horizon_steps,horizon_error_rad_s
0,24,rk4_oracle,50,0.0
0,24,rk4_oracle,100,0.0
0,24,rk4_oracle,200,0.0
0,24,nominal_physics,10,82.79100973470833
0,24,nominal_physics,50,251.64037066496402
0,24,nominal_physics,100,295.15526636868685
0,24,nominal_physics,200,256.1490101471261
0,24,calibrated_physics,10,2.5579538487363607e-12
0,24,calibrated_physics,50,5.7411853049416095e-12
0,24,calibrated_physics,100,3.922195901395753e-12
0,24,calibrated_physics,200,5.5365489970427006e-11
0,25,rk4_oracle,10,0.0
0,25,rk4_oracle,50,0.0
0,25,rk4_oracle,100,0.0
0,25,rk4_oracle,200,0.0
0,25,nominal_physics,10,80.71706628453478
0,25,nominal_physics,50,245.75191236511077
0,25,nominal_physics,100,289.00170078529527
0,25,nominal_physics,200,252.37193556058398
0,25,calibrated_physics,10,2.4442670110147446e-12
0,25,calibrated_physics,50,0.0
0,25,calibrated_physics,100,2.7114310796605423e-11
0,25,calibrated_physics,200,1.4006218407303095e-10
0,26,rk4_oracle,10,0.0
0,26,rk4_oracle,50,0.0
0,26,rk4_oracle,100,0.0
0,26,rk4_oracle,200,0.0
0,26,nominal_physics,10,74.32762160937494
0,26,nominal_physics,50,227.59816437286767
0,26,nominal_physics,100,270.03637739264684
0,26,nominal_physics,200,240.86654654987794
0,26,calibrated_physics,10,5.115907697472721e-13
0,26,calibrated_physics,50,3.467448550509289e-12
0,26,calibrated_physics,100,2.0691004465334117e-11
0,26,calibrated_physics,200,8.617462299298495e-11
0,27,rk4_oracle,10,0.0
0,27,rk4_oracle,50,0.0
0,27,rk4_oracle,100,0.0
0,27,rk4_oracle,200,0.0
0,27,nominal_physics,10,78.04562813581754
0,27,nominal_physics,50,234.68981171139004
0,27,nominal_physics,100,270.75253600979653
0,27,nominal_physics,200,225.81993284845376
0,27,calibrated_physics,10,5.115907697472721e-13
0,27,calibrated_physics,50,1.0231815394945443e-12
0,27,calibrated_physics,100,9.038103598868474e-12
0,27,calibrated_physics,200,3.7914560380158946e-11
0,28,rk4_oracle,10,0.0
0,28,rk4_oracle,50,0.0
0,28,rk4_oracle,100,0.0
0,28,rk4_oracle,200,0.0
0,28,nominal_physics,10,69.79223610698887
0,28,nominal_physics,50,211.42687376256595
0,28,nominal_physics,100,246.716810557389
0,28,nominal_physics,200,211.49654934873968
0,28,calibrated_physics,10,1.6484591469634324e-12
0,28,calibrated_physics,50,1.6484591469634324e-12
0,28,calibrated_physics,100,1.0629719326971099e-11
0,28,calibrated_physics,200,6.477307579189073e-11
